DEBUG 2015-06-16 22:28:30,899 12027ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 10:28:30 p.m.
DEBUG 2015-06-16 22:28:36,729 17857ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 10:28:36 p.m.
DEBUG 2015-06-18 21:58:32,627 47780ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 09:58:32 p.m.
DEBUG 2015-06-18 21:58:33,564 48717ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 09:58:33 p.m.
DEBUG 2015-06-18 22:01:43,104  8811ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 10:01:43 p.m.
DEBUG 2015-06-18 22:01:43,307  9014ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 10:01:43 p.m.
DEBUG 2015-06-18 22:02:57,889  4875ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 10:02:57 p.m.
DEBUG 2015-06-18 22:02:58,084  5071ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 10:02:58 p.m.
DEBUG 2015-06-18 22:25:00,816  6955ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 10:25:00 p.m.
DEBUG 2015-06-18 22:25:01,064  7203ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 10:25:01 p.m.
DEBUG 2015-06-25 20:58:41,417  5676ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 08:58:41 p.m.
DEBUG 2015-06-25 20:59:05,332 29591ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 08:59:05 p.m.
DEBUG 2015-06-25 20:59:12,088 36347ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 08:59:12 p.m.
DEBUG 2015-06-25 20:59:16,408 40667ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 08:59:16 p.m.
DEBUG 2015-06-25 20:59:23,327 47586ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 08:59:23 p.m.
DEBUG 2015-06-25 20:59:54,015   923ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 08:59:54 p.m.
DEBUG 2015-06-25 20:59:54,575  1483ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 08:59:54 p.m.
DEBUG 2015-06-25 21:00:10,321  3637ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 09:00:10 p.m.
DEBUG 2015-06-25 21:45:15,039 10956ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 09:45:15 p.m.
